path,family,class,total_steps,fwd_steps,time_ratio,transient_peak,log2_T,k_space,k_time,n_uncalls,call_depth_max
others/examples/invtab2rank.j,others,B,90,60,1.5,4,6.492,0.616,0.585,1,2
qsort/code/qsort2.j,qsort,B,362,283,1.2792,8,8.5,0.941,0.355,5,5
qsort/qsort2.j,qsort,B,515,406,1.2685,7,9.008,0.777,0.343,5,5
rank/rank_perm.j,rank,B,262,205,1.278,8,8.033,0.996,0.354,7,5
ssort/code/ssort.j,ssort,B,243,155,1.5677,6,7.925,0.757,0.649,6,4
ssort/ssort1.j,ssort,B,259,171,1.5146,6,8.017,0.748,0.599,6,4
apsp/apsp.j,apsp,C,1926,1117,1.7243,10,10.911,0.916,0.786,32,4
bsort/bsort2.j,bsort,C,247,131,1.8855,5,7.948,0.629,0.915,1,1
bsort/code/bsort2.j,bsort,C,199,109,1.8257,4,7.637,0.524,0.868,1,2
bsort/code/bsort3.j,bsort,C,199,109,1.8257,4,7.637,0.524,0.868,1,2
dp/lis.j,dp,C,474,274,1.7299,5,8.889,0.563,0.791,9,2
geometry/closest_pair.j,geometry,C,155,87,1.7816,6,7.276,0.825,0.833,1,2
geometry/convex_hull.j,geometry,C,359,213,1.6854,7,8.488,0.825,0.753,5,3
hsort/code/hsort1.j,hsort,C,670,355,1.8873,11,9.388,1.172,0.916,37,7
hsort/code/hsort2.j,hsort,C,494,267,1.8502,10,8.948,1.118,0.888,35,7
hsort/hsort3.j,hsort,C,791,416,1.9014,10,9.628,1.039,0.927,48,7
isort/code/isort2_old.j,isort,C,111,65,1.7077,3,6.794,0.442,0.772,1,2
isort/code/isort3_old.j,isort,C,111,65,1.7077,3,6.794,0.442,0.772,1,2
isort/disort.j,isort,C,238,139,1.7122,3,7.895,0.38,0.776,6,2
isort/isort10.j,isort,C,401,208,1.9279,5,8.647,0.578,0.947,4,2
isort/isort6.j,isort,C,149,82,1.8171,5,7.219,0.693,0.862,1,1
isort/isort9.j,isort,C,204,106,1.9245,4,7.672,0.521,0.945,1,1
linear_search/Lsearch1.j,linear_search,C,138,73,1.8904,2,7.109,0.281,0.919,1,2
linear_search/Lsearch2.j,linear_search,C,137,72,1.9028,2,7.098,0.282,0.928,1,1
linear_search/Lsearch4.j,linear_search,C,179,104,1.7212,4,7.484,0.534,0.783,1,2
linear_search/Lsearch5.j,linear_search,C,181,105,1.7238,4,7.5,0.533,0.786,1,2
linear_search/Lsearch6.j,linear_search,C,264,146,1.8082,4,8.044,0.497,0.855,1,1
linear_search/Lsearch7.j,linear_search,C,181,104,1.7404,3,7.5,0.4,0.799,1,1
linear_search/list_sentinel1.j,linear_search,C,88,48,1.8333,3,6.459,0.464,0.874,1,2
linear_search/list_sentinel2.j,linear_search,C,57,32,1.7812,4,5.833,0.686,0.833,1,1
linear_search/list_sentinel3.j,linear_search,C,137,84,1.631,4,7.098,0.564,0.706,1,2
linear_search/list_sentinel5.j,linear_search,C,135,82,1.6463,3,7.077,0.424,0.719,1,1
linear_search/sentinel1.j,linear_search,C,56,32,1.75,4,5.807,0.689,0.807,1,2
linear_search/sentinel2.j,linear_search,C,91,49,1.8571,3,6.508,0.461,0.893,1,1
linear_search/sentinel3.j,linear_search,C,143,86,1.6628,4,7.16,0.559,0.734,1,2
linear_search/sentinel4.j,linear_search,C,214,121,1.7686,4,7.741,0.517,0.823,1,1
linear_search/sentinel5.j,linear_search,C,222,125,1.776,3,7.794,0.385,0.829,1,1
msort/msort1.j,msort,C,773,396,1.952,9,9.594,0.938,0.965,22,4
others/examples/linkedlist5e.j,others,C,307,186,1.6505,2,8.262,0.242,0.723,27,3
others/examples/shell_sort1.j,others,C,319,171,1.8655,5,8.317,0.601,0.9,1,1
qsort/code/qsort.j,qsort,C,387,204,1.8971,9,8.596,1.047,0.924,10,5
qsort/code/qsort1.j,qsort,C,388,205,1.8927,9,8.6,1.047,0.92,10,5
qsort/queue5e.j,qsort,C,381,207,1.8406,7,8.574,0.816,0.88,24,3
isort/code/isort1.j,isort,D,278,72,3.8611,6,8.119,0.739,1.949,12,3
others/examples/breadth_first_search.j,others,D,1279,570,2.2439,10,10.321,0.969,1.166,81,5
others/examples/fact.j,others,D,283,39,7.2564,4,8.145,0.491,2.859,31,6
perm/code/perm2decfac.j,perm,D,723,244,2.9631,11,9.498,1.158,1.567,23,3
rank/rank.j,rank,D,2171,787,2.7586,9,11.084,0.812,1.464,124,3
others/code/decfac2rank.j,others,E,36,2,18.0,4,5.17,0.774,4.17,1,2
rank/rank_lexicographic.j,rank,E,722,10,72.2,11,9.496,1.158,6.174,24,3
ssort/code/ssort1.j,ssort,E,279,17,16.4118,7,8.124,0.862,4.037,7,4
