path,family,dialect_used,total_steps,fwd_steps,time_ratio,n_calls,n_uncalls,call_depth_max,sem_uncompute_steps_loose,time_ratio_sem_loose,n_partial,sem_uncompute_steps,sem_fwd_steps,time_ratio_sem,k_time_sem,n_paired,n_paired_same_dir,n_paired_calls,n_unpaired_uncalls,class_syntactic,class_semantic,class_semantic_loose
isort/code/isort1_old.j,isort,jana2014,47,47,1.0,1,0,1,0,1.0,0,0,47,1.0,0.0,0,0,0,0,A1,A1,A1
isort/code/isort2.j,isort,jana2014,82,82,1.0,2,0,1,0,1.0,0,0,82,1.0,0.0,0,0,0,0,A1,A1,A1
isort/code/isort2_old.j,isort,jana2014,111,65,1.7077,3,1,2,47,1.7344,1,0,111,1.0,0.0,0,0,0,0,C,A1,C
isort/code/isort3.j,isort,jana2014,43,43,1.0,1,0,1,0,1.0,0,0,43,1.0,0.0,0,0,0,0,A1,A1,A1
isort/code/isort3_old.j,isort,jana2014,111,65,1.7077,3,1,2,47,1.7344,1,0,111,1.0,0.0,0,0,0,0,C,A1,C
isort/code/isort4_old.j,isort,jana2014,78,78,1.0,2,0,1,0,1.0,0,0,78,1.0,0.0,0,0,0,0,A1,A1,A1
isort/code/isort_dijkstra79_A1.j,isort,jana2014,49,49,1.0,1,0,1,0,1.0,0,0,49,1.0,0.0,0,0,0,0,A1,A1,A1
linear_search/Lsearch1.j,linear_search,jana2014,138,73,1.8904,2,1,2,66,1.9167,0,66,72,1.9167,0.939,1,0,0,0,C,C,C
linear_search/Lsearch2.j,linear_search,jana2014,137,72,1.9028,1,1,1,66,1.9296,0,66,71,1.9296,0.948,1,0,0,0,C,C,C
linear_search/Lsearch3.j,linear_search,jana2014,25,25,1.0,1,0,1,0,1.0,0,0,25,1.0,0.0,0,0,0,0,A1,A1,A1
linear_search/Lsearch4.j,linear_search,jana2014,179,104,1.7212,2,1,2,76,1.7379,0,76,103,1.7379,0.797,1,0,0,0,C,C,C
linear_search/Lsearch5.j,linear_search,jana2014,181,105,1.7238,2,1,2,77,1.7404,0,77,104,1.7404,0.799,1,0,0,0,C,C,C
linear_search/Lsearch6.j,linear_search,jana2014,264,146,1.8082,1,1,1,119,1.8207,0,119,145,1.8207,0.864,1,0,0,0,C,C,C
linear_search/Lsearch7.j,linear_search,jana2014,181,104,1.7404,1,1,1,78,1.7573,0,78,103,1.7573,0.813,1,0,0,0,C,C,C
linear_search/list_sentinel1.j,linear_search,jana2014,88,48,1.8333,2,1,2,41,1.8723,0,41,47,1.8723,0.905,1,0,0,0,C,C,C
linear_search/list_sentinel2.j,linear_search,jana2014,57,32,1.7812,1,1,1,26,1.8387,0,26,31,1.8387,0.879,1,0,0,0,C,C,C
linear_search/list_sentinel3.j,linear_search,jana2014,137,84,1.631,2,1,2,54,1.6506,0,54,83,1.6506,0.723,1,0,0,0,C,C,C
linear_search/list_sentinel4.j,linear_search,jana2014,60,45,1.3333,1,1,1,16,1.3636,0,16,44,1.3636,0.447,1,0,0,0,B,B,B
linear_search/list_sentinel5.j,linear_search,jana2014,135,82,1.6463,1,1,1,54,1.6667,0,54,81,1.6667,0.737,1,0,0,0,C,C,C
linear_search/sentinel1.j,linear_search,jana2014,56,32,1.75,2,1,2,25,1.8065,0,25,31,1.8065,0.853,1,0,0,0,C,C,C
linear_search/sentinel2.j,linear_search,jana2014,91,49,1.8571,1,1,1,43,1.8958,0,43,48,1.8958,0.923,1,0,0,0,C,C,C
linear_search/sentinel3.j,linear_search,jana2014,143,86,1.6628,2,1,2,58,1.6824,0,58,85,1.6824,0.75,1,0,0,0,C,C,C
linear_search/sentinel4.j,linear_search,jana2014,214,121,1.7686,1,1,1,94,1.7833,0,94,120,1.7833,0.835,1,0,0,0,C,C,C
linear_search/sentinel5.j,linear_search,jana2014,222,125,1.776,1,1,1,98,1.7903,0,98,124,1.7903,0.84,1,0,0,0,C,C,C
minheap/minheap_GPC2018.j,minheap,jana2014,40,37,1.0811,4,3,2,4,1.1111,2,0,40,1.0,0.0,0,0,0,1,B,A1,B
minheap/minheap_Nohr2015.j,minheap,jana2014,472,437,1.0801,63,35,5,64,1.1569,8,48,424,1.1132,0.155,24,0,0,3,B,B,B
minheap/minheap_subset.j,minheap,jana2014,469,434,1.0806,63,35,5,64,1.158,8,48,421,1.114,0.156,24,0,0,3,B,B,B
msort/msort1.j,msort,jana2014,773,396,1.952,22,22,4,378,1.957,14,0,773,1.0,0.0,0,0,0,8,C,A1,C
msort/msort2.j,msort,jana2014,505,505,1.0,22,0,4,0,1.0,0,0,505,1.0,0.0,0,0,0,0,A1,A1,A1
msort/code/msort.j,msort,jana2014,335,335,1.0,23,0,5,0,1.0,0,0,335,1.0,0.0,0,0,0,0,A1,A1,A1
mst/prim.j,mst,jana2014,462,340,1.3588,11,5,3,127,1.3791,0,127,335,1.3791,0.464,5,0,0,0,B,B,B
