n,schedule,family,step,moves,pebbles,state_size,temps,time,time_pred,baseline_time,time_ratio,peak_space,declared_space,space_pred,output_ok
64,optimal(s=51),optimal,step_lcg.srl,153,51,1,0,153,153,64,2.3906,51,52,52,True
64,optimal(s=51),optimal,step_tri.srl,153,51,1,2,2586,2586,1068,2.4213,54,54,54,True
64,optimal(s=52),optimal,step_fib.srl,151,52,2,0,453,453,192,2.3594,105,106,106,True
64,optimal(s=52),optimal,step_lcg.srl,151,52,1,0,151,151,64,2.3594,52,53,53,True
64,optimal(s=52),optimal,step_tri.srl,151,52,1,2,2550,2550,1068,2.3876,55,55,55,True
64,optimal(s=53),optimal,step_fib.srl,149,53,2,0,447,447,192,2.3281,107,108,108,True
64,optimal(s=53),optimal,step_lcg.srl,149,53,1,0,149,149,64,2.3281,53,54,54,True
64,optimal(s=53),optimal,step_tri.srl,149,53,1,2,2514,2514,1068,2.3539,56,56,56,True
64,optimal(s=54),optimal,step_fib.srl,147,54,2,0,441,441,192,2.2969,109,110,110,True
64,optimal(s=54),optimal,step_lcg.srl,147,54,1,0,147,147,64,2.2969,54,55,55,True
64,optimal(s=54),optimal,step_tri.srl,147,54,1,2,2478,2478,1068,2.3202,57,57,57,True
64,optimal(s=55),optimal,step_fib.srl,145,55,2,0,435,435,192,2.2656,111,112,112,True
64,optimal(s=55),optimal,step_lcg.srl,145,55,1,0,145,145,64,2.2656,55,56,56,True
64,optimal(s=55),optimal,step_tri.srl,145,55,1,2,2442,2442,1068,2.2865,58,58,58,True
64,optimal(s=56),optimal,step_fib.srl,143,56,2,0,429,429,192,2.2344,113,114,114,True
64,optimal(s=56),optimal,step_lcg.srl,143,56,1,0,143,143,64,2.2344,56,57,57,True
64,optimal(s=56),optimal,step_tri.srl,143,56,1,2,2406,2406,1068,2.2528,59,59,59,True
64,optimal(s=57),optimal,step_fib.srl,141,57,2,0,423,423,192,2.2031,115,116,116,True
64,optimal(s=57),optimal,step_lcg.srl,141,57,1,0,141,141,64,2.2031,57,58,58,True
64,optimal(s=57),optimal,step_tri.srl,141,57,1,2,2370,2370,1068,2.2191,60,60,60,True
64,optimal(s=58),optimal,step_fib.srl,139,58,2,0,417,417,192,2.1719,117,118,118,True
64,optimal(s=58),optimal,step_lcg.srl,139,58,1,0,139,139,64,2.1719,58,59,59,True
